x,y,z,d,N,Mr,Hc,Hcr
91,70,70,7,10,0.486603,0.056,0.0630741116165648
91,70,70,10,10,0.48509405,0.0522,0.0573104510948857
91,70,70,15,10,0.48249082,0.047,0.0505217315392164
91,70,70,20,10,0.47980272,0.042,0.0472498685866004
91,70,70,30,10,0.47490432,0.0337,0.0372966787345259
91,70,70,50,10,0.44495121,0.0238,0.0272434501751413
91,70,70,70,10,0.42991153,0.0208,0.0222155970058761
91,70,70,100,10,0.42184188,0.0167,0.0172619492661619
96,80,80,0,1,0.34877974,0.00830000000000003,0.00880403961266729
96,80,80,10,10,0.47606446,0.0455,0.0473629507683098
98,70,70,0,1,0.4142496,0.0156,0.0158993589720472
98,70,70,1,10,0.48894216,0.0668,0.0745393212430586
98,70,70,2,10,0.48873703,0.0653,0.0724163088512083
98,70,70,3,10,0.4887739,0.0636,0.0703901580919804
98,70,70,5,10,0.48797228,0.061,0.0673605795669852
98,70,70,7,10,0.48727238,0.0581,0.0642765708938484
98,70,70,10,10,0.48604574,0.0543,0.0592753416207844
98,70,70,15,10,0.48386251,0.0492,0.053235974534515
98,70,70,20,10,0.4815213,0.0446,0.0473697793172405
98,70,70,30,10,0.47725557,0.0376,0.0422513041968112
98,70,70,50,10,0.45575709,0.0275,0.0322112932239279
98,70,70,70,10,0.43848874,0.0223,0.0259582006095017
98,70,70,100,10,0.43024335,0.0197,0.0216285925007895
99,90,90,10,10,0.45354497,0.0377,0.0416031648109214
100,50,50,1,10,0.49015267,0.0957999999999999,0.102881998233139
100,50,50,10,10,0.48929804,0.0854,0.0895883050050957
100,50,50,20,10,0.48819269,0.0754,0.0822500021614403
100,50,50,50,10,0.48649302,0.0578,0.0721495205294136
100,50,50,100,10,0.48616096,0.0489,0.0670511292757185
100,100,100,1,10,0.46741629,0.0439000000000001,0.0471564871676135
100,100,100,2,10,0.46513644,0.0427999999999999,0.0471002264348366
100,100,100,3,10,0.46212096,0.042,0.042207224179325
100,100,100,5,10,0.4512402,0.0395,0.0420709651298771
100,100,100,7,10,0.43784446,0.0373,0.039228512418661
100,100,100,10,1,0.23548695,0.016,0.00655547430530033
100,100,100,10,2,0.29000987,0.0133,0.0150765862846906
100,100,100,10,3,0.33736317,0.018,0.0170881282234996
100,100,100,10,4,0.36521901,0.0272,0.0316340384204105
100,100,100,10,5,0.38337368,0.0291,0.0317913290471895
100,100,100,10,6,0.39462898,0.0317,0.0319566597409274
100,100,100,10,7,0.40342782,0.0323,0.036826003435012
100,100,100,10,8,0.40984633,0.033,0.0368646586036297
100,100,100,10,9,0.41506505,0.0338,0.0369001275552438
100,100,100,10,10,0.4191675,0.0344,0.0369468558580298
100,100,100,10,11,0.42253487,0.0353,0.0369703043014845
100,100,100,10,20,0.43810806,0.0364,0.0370728666685745
100,100,100,10,21,0.43905166,0.0369,0.0370798802512194
100,100,100,10,29,0.4441365,0.0365,0.037086156122687
100,100,100,15,10,0.39088207,0.0304,0.0318797481339294
