x,y,z,d,N,a,Mr,Mrx,Mry,Mrz,Hc,Hsw,Hsw_file1,Hsw_file2
20,50,50,10,10,93,-0.096651,-0.000119,-0.140022,-0.140228,0.00989999999999996,-9.9999999999989e-05,-10,0
20,50,50,10,10,94,-0.002989,-0.000138,0.044754,-0.093934,0.000300000000000022,0,0,1
20,50,50,10,10,95,4e-06,0.000119,6.6e-05,2.6e-05,0,0,0,1
20,50,50,10,10,96,-0.129891,0.000101,0.13998,-0.140252,0.0202,-9.9999999999989e-05,-10,0
20,50,50,10,10,97,-0.113954,-9e-05,0.138279,-0.09657,0.0104,-9.9999999999989e-05,-10,0
20,50,50,10,10,98,-0.100499,0.000396,0.096468,-0.138242,0.0121,0,0,1
20,50,50,10,10,99,1.4e-05,-0.000383,2.9e-05,-2.5e-05,0,-0.000299999999999967,-10,0
20,50,50,10,10,100,-0.012577,-0.000106,0.044767,-0.093921,0.00120000000000003,0,0,1
30,50,50,10,10,1,-0.30352,0.321391,-0.124335,-0.123339,0.00470000000000004,0.00420000000000004,4,5
30,50,50,10,10,2,-0.189247,0.272451,0.07342,0.055851,0.00120000000000003,0.00120000000000003,1,2
30,50,50,10,10,3,-0.212812,-0.218683,-0.08991,-0.000437,0.00140000000000001,0.00120000000000003,1,2
30,50,50,10,10,4,-0.060964,0.252158,-0.043712,-0.043343,0.00220000000000004,0.00230000000000002,2,3
30,50,50,10,10,5,-0.34222,-0.315644,-0.124737,-0.124531,0.00259999999999999,0.00230000000000002,2,3
30,50,50,10,10,6,-0.126758,-0.263547,0.080758,0.054019,0.00230000000000002,0.00230000000000002,2,3
30,50,50,10,10,7,-0.241062,0.304152,0.062023,-0.073109,0.00220000000000004,0.00209999999999999,2,3
30,50,50,10,10,8,-0.303266,-0.314248,0.124656,-0.124021,0.00370000000000004,0.00330000000000003,3,4
30,50,50,10,10,9,-0.095323,-0.158879,0.000542,-0.09283,0.00989999999999996,0.017,15,20
